,Coin,classification,total_pnl,avg_pnl,trade_count,avg_trade_size_usd,total_fees
348,GMX,Extreme Fear,622.41079,47.87775307692308,13,792.1807692307691,3.460236
349,GMX,Extreme Greed,61.855318,1.1045592499999999,56,543.6746428571429,8.920827
350,GMX,Greed,0.0,0.0,35,2084.6462857142856,24.51541
351,GMX,Neutral,15.167606,1.0834004285714285,14,536.6621428571428,1.815803
352,GOAT,Extreme Fear,44.71729,14.905763333333333,3,650.3366666666667,0.6555340000000001
353,GOAT,Extreme Greed,7971.83595,86.65039076086956,92,4038.256847826087,129.573439
354,GOAT,Greed,110.86860000000001,13.858575000000002,8,304.97749999999996,0.853928
355,GOAT,Neutral,15.5193,15.5193,1,206.06,0.072121
356,GRASS,Extreme Fear,1008.467046,16.8077841,60,955.7356666666667,12.258725
357,GRASS,Extreme Greed,85.65644900000001,1.4276074833333334,60,1360.9808333333335,20.805268
358,GRASS,Fear,28.953272,1.5238564210526315,19,416.21210526315787,2.767804
359,GRASS,Greed,81.550604,1.8534228181818184,44,183.68977272727273,2.586325
360,GRASS,Neutral,20.655617999999997,4.1311236,5,205.862,0.360256
361,GRIFFAIN,Extreme Fear,-378.092427,-94.52310675,4,213.0325,0.289417
362,GRIFFAIN,Extreme Greed,4066.840661,15.288874665413534,266,1111.9665413533835,41.613372
363,GRIFFAIN,Fear,1909.735557,18.36284189423077,104,1157.563846153846,13.050455
364,GRIFFAIN,Greed,1900.320293,16.816993743362833,113,1127.0197345132742,18.030455
365,GRIFFAIN,Neutral,-609.7154129999999,-10.51233470689655,58,528.243275862069,8.405783
366,HBAR,Extreme Greed,1770.23626,9.726572857142857,182,383.42686813186816,21.945982
